Team,Park Factor
COL,115
ATH,108
DET,105
LAD,104
TOR,103
BAL,103
BOS,103
PHI,102
TB,102
AZ,102
WSH,101
ATL,101
MIN,101
LAA,101
NYY,99
NYM,99
CIN,99
SF,99
MIL,98
CHC,98
CWS,98
STL,97
KC,97
HOU,97
MIA,97
PIT,96
CLE,95
SD,95
TEX,91
SEA,91
