Name,IP,ERA-
Justin Verlander,152,94
Sam Moll,18.1,145
Blade Tidwell,15,221
Jimmy Herget,83.1,52
Randy Vásquez,133.2,95
Jeffrey Springs,171,97
Ryan Gusto,101.2,137
Max Kranick,37,90
Roddery Muñoz,11,199
J.P. Feyereisen,4,267
Michael Petersen,18,94
Landon Knack,42.1,117
Chad Patrick,119.2,85
Emmanuel Rivera,1,1783
Penn Murfee,12.2,190
Caleb Freeman,3.1,131
Carlos Hernández,43.1,149
Dylan Lee,68.1,78
Daniel Robert,13,97
Ron Marinaccio,10.2,21
Jack Perkins,38.2,99
Brooks Raley,25.2,60
Nic Enright,31,50
Anthony DeSclafani,38.2,120
Tony Gonsolin,36,119
Shelby Miller,46,65
Sean Burke,134.1,103
Wikelman González,20.1,65
Troy Melton,45.2,67
Aroldis Chapman,61.1,28
Alek Jacob,33.1,127
Yoendrys Gómez,62.2,126
Craig Yoho,8.2,174
Mason Miller,61.2,63
Bailey Falter,125.1,104
Beau Brieske,22,159
Yu Darvish,72,133
Chris Paddack,158,130
Chris Flexen,43.2,75
Jack Leiter,151.2,95
Cal Quantrill,117.2,142
Robert Stephenson,10,65
Miguel Castro,6,183
Edwin Uceta,76,92
Ben Joyce,4.1,150
Randy Rodríguez,50.2,43
Luis Peralta,19,198
Colton Gordon,86,131
Jeff Hoffman,68,107
Kyle Bradish,32,63
Sean Reynolds,27,132
Jacob Stallings,2,94
Kyle Nicolas,38,110
Gabe Speier,62,68
Ryan Zeferjahn,57,114
Ryan Fernandez,30.1,187
Kolby Allard,65,65
Miles Mikolas,156.1,117
Easton Lucas,24.1,164
Zach Agnos,31.1,138
Jonathan Cannon,103.2,142
Brandon Waddell,31.1,85
Drew Pomeranz,49.2,53
Jason Adam,65.1,48
Tobias Myers,50.2,85
Michael Kelly,39.2,75
Daysbel Hernández,37,81
Jackson Rutledge,73.1,137
Casey Legumina,49.2,147
Shinnosuke Ogasawara,38.2,166
Trevor Richards,5.2,188
Mason Barnett,22.1,163
Spencer Strider,125.1,105
Michael Soroka,89.2,107
Hunter Gaddis,66.2,77
Eric Orze,41.2,73
Kevin Ginkel,25.2,173
Ian Seymour,57,88
Matt Bowman,24.2,154
Michael Wacha,172.2,91
Clayton Beeter,25.1,103
Chase Burns,43.1,103
Codi Heuer,4.2,142
Travis Adams,33.2,181
Erasmo Ramírez,11,59
Lazaro Estrada,7.1,211
Hunter Bigge,15,58
Ian Hamilton,40,106
Thomas Harrington,8.2,363
Justin Lawrence,17.2,12
Nick Anderson,14.2,128
Weston Wilson,3,0
Trevor Williams,82.2,147
Mason Fluharty,52.2,109
Bennett Sousa,50.2,70
Dylan Cease,168,112
Eduard Bazardo,78.2,66
Chase Lee,37.1,100
Sam Aldegheri,13.2,191
Jacob deGrom,172.2,74
Ryan Pepiot,167.2,94
Zebby Matthews,79.1,135
Lucas Giolito,145,80
Kyle Hendricks,164.2,115
José Leclerc,9,142
Carson Fulmer,29.1,141
John Schreiber,64,90
Eduardo Rodriguez,154.1,118
Justin Hagenman,23.2,112
Michael Tonkin,24,118
Ryan Yarbrough,64,108
Germán Márquez,126.1,140
Keegan Akin,63.1,84
Tyler Zuber,12,265
Robinson Piña,2.1,185
Tanner Banks,67.1,72
Dillon Tate,6.1,105
Triston McKenzie,5.2,275
Logan Gilbert,131,90
Kevin Gausman,193,88
Carson Whisenhunt,23.1,122
Robert Suarez,69.2,73
Frankie Montas,38.2,154
Carlos Carrasco,45.2,172
MacKenzie Gore,159.2,99
José Ureña,55,111
Cole Ragans,61.2,111
Roki Sasaki,36.1,106
Dean Kremer,171.2,104
Nick Martinez,165.2,101
Sean Manaea,60.2,139
DL Hall,38.2,84
Cade Horton,118,65
Tanner Scott,57,113
Jayden Murray,11.2,38
Casey Mize,149,94
Jack Flaherty,161,113
Bryan Baker,68.2,99
Joe Boyle,52,113
Tyler Alexander,97.2,120
Porter Hodge,33,152
Bryan Woo,186.2,77
Enyel De Los Santos,66,104
Seth Lugo,145.1,98
Mick Abel,39,148
Juan Mejia,61.1,83
Zack Littell,186.2,90
Luis Castillo,180.2,92
Andrew Heaney,122.1,129
Jared Koenig,66,69
Hayden Wesneski,32,110
Zak Kent,17.2,113
Miguel Rojas,5,301
Casey Kelly,1.2,0
Kyle Farmer,1,188
Mike Yastrzemski,1,438
Reese McGuire,1,218
Reiver Sanmartin,1.2,0
Nick Raquet,2,0
Michael Lorenzen,141.2,110
Danny Coulombe,43,57
Tim Herrin,42.2,120
Joey Wentz,98,133
Brady Singer,169.2,91
Tony Santillan,73.2,55
Mitchell Parker,164.2,135
Gunnar Hoglund,32.1,152
Matthew Liberatore,151.2,102
Bryse Wilson,47.1,162
Ryne Nelson,154,80
Tanner Gordon,75.1,132
Tyler Mahle,86.2,54
Yariel Rodríguez,73,76
Tristan Beck,56.2,112
Erick Fedde,141,132
Luarbert Arias,10.1,265
Colin Rea,159.1,96
Jose Quintana,131.2,95
Nick Lodolo,156.2,75
Chris Sale,125.2,61
Jacob Latz,85.2,70
Tomoyuki Sugano,157,115
Andrew Saalfrank,29,29
Elvis Alvarado,42.1,76
Yusei Kikuchi,178.1,96
Greg Weissert,67,66
Ryan Weathers,38.1,94
Justin Slaten,34,99
Tayler Scott,27.1,191
Carlos Rodón,195.1,76
Robert Stock,2.2,237
Chas McCormick,3,147
Jhonny Pereda,3,499
Brian Van Belle,8.1,131
Connelly Early,19.1,55
Bobby Miller,5,301
Scott Barlow,68.1,95
Daniel Palencia,52.2,70
Hogan Harris,64.2,76
Kyle Harrison,35.2,97
Kai-Wei Teng,29.2,155
Joe Mantiply,9.2,372
Chris Devenski,16.2,53
Paxton Schultz,24.2,108
Bryce Miller,90.1,148
Steven Cruz,45.2,89
José Berríos,166,103
Zack Wheeler,149.2,63
Julian Fernández,5,129
Orion Kerkering,60,77
Trent Thornton,42.1,122
Chase Dollander,98,136
Brandon Eisert,69.2,107
Anthony Bender,50,51
Anthony Molina,34.2,152
Trevor Megill,47,60
Grant Holman,23,121
Pablo López,75.2,66
Joel Peguero,22.1,59
Tyler Glasnow,90.1,76
Bryan Abreu,71,56
Logan Evans,81.1,113
Jalen Beeks,57.1,89
Cade Povich,112.1,129
Shane Smith,146.1,93
Jackson Jobe,49,103
Jake Irvin,180,135
Cole Sands,72,109
Brent Suter,67.2,102
Tanner Bibee,182.1,105
Janson Junk,110,98
Jakob Junis,66.2,73
Slade Cecconi,132,106
Pete Fairbanks,60.1,69
Kodai Senga,113.1,74
Cade Smith,73.2,72
Taj Bradley,142.2,122
Taylor Rogers,50.2,79
Zach Eflin,71.1,147
Zac Gallen,192,114
Edgardo Henriquez,19,57
Logan Allen,156.2,105
Pierson Ohl,30,124
Max Lazar,41.1,112
Mike Burrows,96,92
Merrill Kelly,184,84
David Bednar,62.2,55
Caden Dana,32.1,154
Dustin May,132.1,118
Spencer Arrighetti,35.1,131
Justin Garza,6.2,133
Christian Koss,4,0
Bradgley Rodriguez,7.2,29
Jonah Tong,18.2,190
Chase Petty,6,442
Wade Miley,12,153
Adam Mazur,30,113
Tarik Skubal,195.1,54
Sawyer Gipson-Long,31.1,175
Taijuan Walker,123.2,95
Ben Brown,106.1,143
Paul Skenes,187.2,46
Payton Tolle,16.1,142
Trevor Rogers,109.2,45
Allan Winans,9.1,214
Ian Anderson,9.1,279
Dugan Darnell,11.2,81
Matt Svanson,60.1,47
Ryan Feltner,30.1,99
Jesús Luzardo,183.2,92
Bryan Hudson,15,116
Devin Williams,62,118
AJ Smith-Shawver,44.1,91
Thomas Hatch,34,141
Brandon Young,57.2,155
Austin Cox,21.1,210
Keider Montero,90.2,106
Kyle Freeland,162.2,104
Sammy Peralta,10.2,183
Tylor Megill,68.1,97
PJ Poulin,24.2,87
Dane Dunning,20.2,167
Robert Garcia,64,73
Jesus Tinoco,19.1,120
Yohan Ramírez,33.1,126
Bradley Blalock,58.2,196
Collin Snider,26.1,143
Grant Anderson,69.2,77
Brooks Kriske,18,182
Cam Schlittler,73,73
Pablo Reyes,1,667
Jorge Mateo,1,1115
Taylor Clarke,55.1,77
José Urquidy,2.1,188
Cooper Hummel,1,884
Fraser Ellard,17,103
Michael Mercado,3,351
Seth Johnson,12.2,100
Yilber Díaz,3,212
Joe Ross,51,120
Mitch Keller,176.1,98
Aaron Nola,94.1,141
Luis Severino,162.2,108
Ryan Johnson,14.2,178
Matt Festa,54.2,102
Shohei Ohtani,47,69
Noah Cameron,138.1,71
Patrick Corbin,155.1,109
Hunter Harvey,10.2,0
A.J. Minter,11,40
Bruce Zimmermann,6,180
Mason Englert,44.2,93
Fernando Cruz,48,88
Zack Kelly,35.1,107
Davis Martin,142.2,100
Michael Darrell-Hicks,9.2,180
Lance McCullers Jr.,55.1,160
Scott Blewett,44.1,133
Enrique Hernández,5.1,363
Jeff Brigham,3.1,191
Bryan King,68,68
Sauryn Lao,11,122
Sam Long,40.1,127
Kendall Graveman,17.2,168
Cole Winn,41.2,37
Grant Holmes,115,94
Keaton Winn,10,110
Evan Sisk,17.2,83
David Robertson,17.2,95
Ranger Suárez,157.1,75
Joey Cantillo,95.1,79
Justin Steele,22.2,115
Jaden Hill,29.1,71
Rafael Montero,60.1,107
Shane Baz,166.1,118
Will Warren,162.1,110
Félix Bautista,34.2,64
Kevin Kelly,39.2,143
Lucas Sims,12.1,330
Mason Thompson,10.2,281
Juan Burgos,13.1,148
Gavin Williams,167.2,76
Seranthony Domínguez,62.2,78
Matt Sauer,29.2,152
Richard Fitts,45,117
Garrett Cleavinger,61.1,57
Kenta Maeda,8,192
Spencer Turnbull,6.1,174
Rico Garcia,34.1,78
Paul Blackburn,39,153
David Morgan,47.1,66
Kyle Gibson,12.1,416
Jacob Barnes,8,221
Josh Walker,5,177
Marcus Stroman,39,154
Zach Maxwell,10,102
Brandon Walter,53.2,82
Brandon Pfaadt,176.2,123
Rich Hill,9,118
Luis Guerrero,17.1,97
Steven Matz,76.2,74
Elvis Peguero,9.1,163
Chris Martin,42.1,74
Casey Lawrence,17.2,104
Noah Murdock,17,314
Sonny Gray,180.2,104
Tommy Kahnle,63,108
Logan VanWey,10.2,124
Ryan Helsley,56,110
Mason Montgomery,46,137
Walker Buehler,126,115
Easton McGee,14.2,132
JT Brubaker,28.2,92
Mike Clevinger,5.2,193
Jordan Weems,4.1,357
Dylan Dodd,35,85
Mark Leiter Jr.,48.1,120
Justin Wilson,48.1,79
Reese Olson,68.2,77
Chris Stratton,21,183
Nabil Crismatt,34,87
Emerson Hancock,90,128
Jesse Scholtens,8.1,131
Chris Roycroft,20.2,190
Garrett Whitlock,72,53
Edward Cabrera,137.2,83
Edwin Díaz,66.1,40
Kyle Finnegan,57,83
Reed Garrett,55.1,96
Charlie Morton,142,144
José Buttó,67,95
Garrett Hampson,1,0
Alec Burleson,1,0
Christian Roa,3,0
Clayton Kershaw,112.2,80
Kyle Backhus,25.1,109
Hunter Barco,3,0
Ryan Loutos,12,303
José Ruiz,16.1,207
Antonio Senzatela,130,139
Huascar Brazobán,63,88
Mitch Spence,84.2,121
Kyle Leahy,88,75
Drew Rasmussen,150,67
Landen Roupp,106.2,92
Jonathan Bowlan,44.1,91
