player_id,elo,count,MLBID,MLBNAME,TEAM,FANGRAPHSNAME,Name,IP,ERA-,is_qualified,elo_adjusted,elo+,elo_adjusted2,elo+2,elo+_era
682842,1621.04046,299,682842,Abner Uribe,MIL,Abner Uribe,Abner Uribe,75.1,40,FALSE,1621.04046,103.0824134,184.4894671,135.6376264,114.0142461
666142,1620.186497,257,666142,Cole Ragans,KC,Cole Ragans,Cole Ragans,61.2,111,FALSE,1620.186497,103.0281097,183.6355035,135.0097879,113.4384576
663947,1619.786543,312,663947,Tyler Holton,DET,Tyler Holton,Tyler Holton,78.2,89,FALSE,1619.786543,103.0026765,183.2355497,134.7157397,113.1687872
669276,1618.897316,266,669276,Dylan Lee,ATL,Dylan Lee,Dylan Lee,68.1,78,FALSE,1618.897316,102.9461303,182.3463231,134.0619756,112.5692224
664208,1618.449691,250,664208,Phil Maton,CHC,Phil Maton,Phil Maton,61.1,68,FALSE,1618.449691,102.9176657,181.8986977,133.7328791,112.2674092
622491,1618.319037,746,622491,Luis Castillo,SEA,Luis Castillo,Luis Castillo,180.2,92,TRUE,1618.319037,102.9093574,181.7680437,133.6368216,112.1793152
681343,1617.279991,616,681343,Shane Smith,CHW,Shane Smith,Shane Smith,146.1,93,FALSE,1617.279991,102.8432841,180.7289978,132.8729096,111.4787342
686993,1617.061006,267,686993,Justin Sterner,ATH,Justin Sterner,Justin Sterner,65,76,FALSE,1617.061006,102.8293588,180.5100124,132.7119104,111.3310824
673929,1616.781237,269,673929,Jordan Leasure,CHW,Jordan Leasure,Jordan Leasure,64.1,95,FALSE,1616.781237,102.8115683,180.2302443,132.5062234,111.1424476
663687,1616.59084,277,663687,Hogan Harris,ATH,Hogan Harris,Hogan Harris,64.2,76,FALSE,1616.59084,102.7994609,180.0398473,132.3662425,111.0140717
678906,1616.546535,139,678906,Kai-Wei Teng,SF,Kai-Wei Teng,Kai-Wei Teng,29.2,155,FALSE,1616.546535,102.7966435,179.9955416,132.3336687,110.9841984
621053,1616.19394,247,621053,Tyler Ferguson,ATH,Tyler Ferguson,Tyler Ferguson,58,111,FALSE,1616.19394,102.7742219,179.642947,132.0744393,110.74646
661395,1615.984179,287,661395,Jhoan Duran,PHI,Jhoan Duran,Jhoan Duran,70,49,FALSE,1615.984179,102.7608831,179.4331857,131.9202217,110.6050276
605540,1615.763024,257,605540,Brandon Woodruff,MIL,Brandon Woodruff,Brandon Woodruff,64.2,77,FALSE,1615.763024,102.7468198,179.2120307,131.7576274,110.4559129
607455,1615.541378,269,607455,Anthony Banda,LAD,Anthony Banda,Anthony Banda,65,76,FALSE,1615.541378,102.7327253,178.9903849,131.5946722,110.3064673
623352,1614.351874,206,623352,Josh Hader,HOU,Josh Hader,Josh Hader,52.2,50,FALSE,1614.351874,102.6570844,177.8008811,130.7201428,109.5044395
694973,1614.327522,733,694973,Paul Skenes,PIT,Paul Skenes,Paul Skenes,187.2,46,TRUE,1614.327522,102.6555358,177.7765286,130.7022387,109.4880197
668881,1614.086101,420,668881,Hunter Greene,CIN,Hunter Greene,Hunter Greene,107.2,62,FALSE,1614.086101,102.6401838,177.535108,130.524745,109.3252409
605177,1614.048005,143,605177,Andrew Chafin,LAA,Andrew Chafin,Andrew Chafin,33.2,57,FALSE,1614.048005,102.6377613,177.4970122,130.4967368,109.2995547
657097,1614.045232,267,657097,Jacob Webb,TEX,Jacob Webb,Jacob Webb,66,74,FALSE,1614.045232,102.6375849,177.4942386,130.4946976,109.2976845
641755,1613.8192,308,641755,Tyler Kinley,ATL,Tyler Kinley,Tyler Kinley,72.2,83,FALSE,1613.8192,102.6232115,177.2682065,130.3285176,109.1452814
621381,1613.728315,256,621381,Matt Strahm,KC,Matt Strahm,Matt Strahm,62.1,64,FALSE,1613.728315,102.6174321,177.1773218,130.2616987,109.0840021
621345,1613.585175,43,621345,A.J. Minter,NYM,A.J. Minter,A.J. Minter,11,40,FALSE,1613.585175,102.6083298,177.0341821,130.1564617,108.9874896
642121,1613.393629,90,642121,Cole Sulser,TB,Cole Sulser,Cole Sulser,22.2,48,FALSE,1613.393629,102.5961493,176.8426364,130.0156362,108.8583391
687888,1612.715166,212,687888,Brandon Walter,BOS,Brandon Walter,Brandon Walter,53.2,82,FALSE,1612.715166,102.5530056,176.1641725,129.516826,108.400882
663158,1612.633655,269,663158,Robert Suarez,ATL,Robert Suarez,Robert Suarez,69.2,73,FALSE,1612.633655,102.5478224,176.0826621,129.4568991,108.3459233
677955,1612.480139,129,677955,Jaden Hill,COL,Jaden Hill,Jaden Hill,29.1,71,FALSE,1612.480139,102.5380602,175.9291461,129.3440334,108.2424145
643377,1611.820722,283,643377,Griffin Jax,TB,Griffin Jax,Griffin Jax,66,102,FALSE,1611.820722,102.4961277,175.2697286,128.8592262,107.7977995
657649,1611.584405,269,657649,Jared Koenig,MIL,Jared Koenig,Jared Koenig,66,69,FALSE,1611.584405,102.4811003,175.0334122,128.6854851,107.6384623
519141,1611.565776,203,519141,Drew Pomeranz,LAA,Drew Pomeranz,Drew Pomeranz,49.2,53,FALSE,1611.565776,102.4799156,175.0147829,128.6717887,107.6259013
642100,1610.972304,243,642100,Gabe Speier,SEA,Gabe Speier,Gabe Speier,62,68,FALSE,1610.972304,102.4421766,174.4213105,128.2354647,107.2257501
676263,1610.932343,307,676263,Jack Dreyer,LAD,Jack Dreyer,Jack Dreyer,76.1,70,FALSE,1610.932343,102.4396355,174.3813502,128.2060857,107.1988067
608331,1610.38384,801,608331,Max Fried,NYY,Max Fried,Max Fried,195.1,71,TRUE,1610.38384,102.404756,173.8328466,127.8028229,106.8289759
691799,1609.521552,157,691799,Grant Taylor,CHW,Grant Taylor,Grant Taylor,36.2,120,FALSE,1609.521552,102.3499229,172.9705591,127.1688646,106.247575
681217,1609.516418,49,681217,Chase Silseth,LAA,Chase Silseth,Chase Silseth,11,39,FALSE,1609.516418,102.3495964,172.9654253,127.1650903,106.2441136
518886,1609.342174,49,518886,Craig Kimbrel,BAL,Craig Kimbrel,Craig Kimbrel,12,55,FALSE,1609.342174,102.3385161,172.7911805,127.0369845,106.1266283
672282,1609.128267,268,672282,Reid Detmers,LAA,Reid Detmers,Reid Detmers,63.2,95,FALSE,1609.128267,102.3249138,172.5772743,126.8797196,105.9824011
695505,1608.792875,189,695505,Chase Burns,CIN,Chase Burns,Chase Burns,43.1,103,FALSE,1608.792875,102.3035861,172.2418822,126.6331375,105.7562616
519242,1608.779368,514,519242,Chris Sale,ATL,Chris Sale,Chris Sale,125.2,61,FALSE,1608.779368,102.3027272,172.2283746,126.6232067,105.7471541
813349,1608.776228,79,813349,Connelly Early,BOS,Connelly Early,Connelly Early,19.1,55,FALSE,1608.776228,102.3025275,172.2252348,126.6208983,105.7450371
690990,1608.607626,480,690990,Cade Horton,CHC,Cade Horton,Cade Horton,118,65,FALSE,1608.607626,102.2918061,172.0566333,126.4969416,105.6313568
640448,1608.501539,233,640448,Kyle Finnegan,DET,Kyle Finnegan,Kyle Finnegan,57,83,FALSE,1608.501539,102.2850599,171.9505457,126.4189454,105.5598268
668909,1608.335919,704,668909,Gavin Williams,CLE,Gavin Williams,Gavin Williams,167.2,76,TRUE,1608.335919,102.2745281,171.7849258,126.2971808,105.448157
664076,1607.771252,243,664076,Garrett Cleavinger,TB,Garrett Cleavinger,Garrett Cleavinger,61.1,57,FALSE,1607.771252,102.2386208,171.2202584,125.8820343,105.0674276
656730,1607.635944,192,656730,Trevor Megill,MIL,Trevor Megill,Trevor Megill,47,60,FALSE,1607.635944,102.2300165,171.0849511,125.7825557,104.9761961
595345,1607.140893,276,595345,Steven Okert,HOU,Steven Okert,Steven Okert,71.2,74,FALSE,1607.140893,102.1985361,170.5899003,125.4185918,104.6424061
693645,1607.021547,306,693645,Cam Schlittler,NYY,Cam Schlittler,Cam Schlittler,73,73,FALSE,1607.021547,102.1909469,170.4705541,125.3308479,104.5619364
679885,1606.759051,67,679885,Justin Martinez,ARI,Justin Martinez,Justin Martinez,15.1,97,FALSE,1606.759051,102.1742547,170.2080581,125.1378594,104.3849474
665152,1606.040264,709,665152,Dean Kremer,BAL,Dean Kremer,Dean Kremer,171.2,104,TRUE,1606.040264,102.1285468,169.4892706,124.609403,103.900302
642701,1605.510728,272,642701,Dennis Santana,PIT,Dennis Santana,Dennis Santana,70.1,51,FALSE,1605.510728,102.0948734,168.9597347,124.2200854,103.5432602
