events,value
strikeout,0.0
field_out,0.26
sac_fly,0.26
force_out,0.26
double_play,0.26
fielders_choice_out,0.26
grounded_into_double_play,0.26
truncated_pa,0.26
sac_fly_double_play,0.26
triple_play,0.26
strikeout_double_play,0.26
fielders_choice,0.26
sac_bunt,0.33
intent_walk,0.41
walk,0.52
hit_by_pitch,0.52
catcher_interf,0.52
sac_fly,0.59
sac_bunt,0.59
field_error,0.59
single,0.59
fielders_choice,0.59
double,0.72
triple,0.85
home_run,1.0
